Step_Name,Cleaned_Operation
车（中心）检验 PII-G39659000-02,车削中心检验
车（数） WI-117,数控车
车（数）检验 PII-G39789000(PS-A),数控车检验
车（普)检验PII-G181060-01,普通车削检验
车（普）,普通车削
车（普）WI-045,普通车削
车（普）检验参见相关检验文件,普通车削检验参见相关检验文件
车（纵切）,纵切车
车（纵切） WI-087,纵切车
车（纵切） WI-089,纵切车
车（纵切） WI-090,纵切车
车（纵切） WI-091,纵切车
车（纵切）PS-608379-03-10,纵切车
车（纵切）PS-608383-10,纵切车
车（纵切）WI-087,纵切车
车（纵切）外协,纵切车(外协)
车（纵切）外协PS-T-39726000-10-10,纵切车
车（纵切）外协检验 PII-G39665000-10-B,纵切车检验
车（纵切）检验,纵切车检验
车（纵切）检验 PII-G00405,纵切车检验
车（纵切）检验 PII-G02410,纵切车检验
车（纵切）检验 PII-G35070005,纵切车检验
车（纵切）检验 PII-G39671000-10,纵切车检验
车（纵切）检验 PII-G39789000(PS-A),纵切车检验
车（纵切）检验 PII-G608379-03,纵切车检验
车（纵切）检验 PII-G608383,纵切车检验
车（纵切）检验PII-G03600,纵切车检验
车（纵切）检验PII-G03664,纵切车检验
车（纵切）检验PII-G03675,纵切车检验
车（纵切）检验PII-G39726000-10,纵切车检验
软件预安装,软件预安装
辐照(灭菌)外协 检验P1I-J00875,辐照(灭菌)检验P1I-J00875
辐照(灭菌)外协W1-346,辐照(灭菌)外协W1-346
辐照灭菌,辐照灭菌
辐照灭菌(外协),辐照灭菌(外协)
